stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,12,2009,3,Monthly,215.9,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.7,-0.2,US,United States
0,0,0,12,2009,3,Monthly,217.5,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.8,0.1,US,United States
0,0,0,0,2010,1,Annual,218.1,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.6,,US,United States
0,0,0,1,2010,3,Monthly,216.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.6,0.3,US,United States
0,0,0,1,2010,3,Monthly,217.6,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.7,0.2,US,United States
0,0,0,2,2010,3,Monthly,216.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.1,0,US,United States
8,2,24,12,2010,7,Semi-Annual,141.9,CPI-U:  Recreation,57,1,"US DOL, Bureau of Labor Statistics",6.1,,CO,Denver/Boulder/Greeley
0,0,0,2,2010,3,Monthly,217.6,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.2,0,US,United States
0,0,0,3,2010,3,Monthly,217.6,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.3,0.4,US,United States
0,0,0,3,2010,3,Monthly,217.7,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.4,0.1,US,United States
0,0,0,4,2010,3,Monthly,218,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.2,0.2,US,United States
0,0,0,4,2010,3,Monthly,217.6,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.2,-0.1,US,United States
0,0,0,5,2010,3,Monthly,218.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2,0.1,US,United States
0,0,0,5,2010,3,Monthly,217.2,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2,-0.2,US,United States
0,0,0,6,2010,3,Monthly,218,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.1,-0.1,US,United States
8,2,24,12,2011,7,Semi-Annual,261.8,CPI-U:  Transportation,55,1,"US DOL, Bureau of Labor Statistics",9.8,,CO,Denver/Boulder/Greeley
0,0,0,6,2010,3,Monthly,216.9,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.1,-0.1,US,United States
0,0,0,7,2010,3,Monthly,218,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.2,0,US,United States
0,0,0,7,2010,3,Monthly,217.6,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.3,0.3,US,United States
0,0,0,8,2010,3,Monthly,218.3,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.1,0.1,US,United States
0,0,0,8,2010,3,Monthly,218.2,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.2,0.3,US,United States
0,0,0,9,2010,3,Monthly,218.4,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.1,0.1,US,United States
0,0,0,9,2010,3,Monthly,218.4,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.1,0.1,US,United States
